number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_cv_recall_std,state
53,0.8868085106382978,2026-02-05 23:06:25.404364,2026-02-05 23:06:25.653487,0 days 00:00:00.249123,0.9815318449516073,0.1087752530931018,0.23976075671289707,4,2,468,0.05950978245719968,0.7072508397639575,0.7774475845735098,0.01096519040572349,COMPLETE
54,0.8229787234042553,2026-02-05 23:06:26.008432,2026-02-05 23:06:26.200441,0 days 00:00:00.192009,0.9803209800683717,0.15601999666927346,0.22463125056680572,3,2,157,0.23506838335998836,0.7053387472293988,0.7800190913334545,0.01797337198463222,COMPLETE
55,0.8680851063829789,2026-02-05 23:06:26.562503,2026-02-05 23:06:26.807390,0 days 00:00:00.244887,0.9676212666950562,0.025447438840717956,0.1879286693538504,4,2,463,0.16739364800383705,0.5687569660914503,0.8419799014394022,0.008510638297872353,COMPLETE
56,0.8757446808510639,2026-02-05 23:06:27.183259,2026-02-05 23:06:27.366866,0 days 00:00:00.183607,0.9570459362314476,0.12107866393487604,0.25579496496639814,3,3,440,0.11674690055943782,0.8272189235576395,0.8675364710724213,0.012155622857094197,COMPLETE
57,0.8221276595744682,2026-02-05 23:06:27.769517,2026-02-05 23:06:28.038971,0 days 00:00:00.269454,0.6268317975975204,0.1058240809626296,0.10740450565765888,4,2,474,0.38617948322951207,0.7427577945479586,0.8046958369560383,0.016893134673429115,COMPLETE
58,0.857872340425532,2026-02-05 23:06:28.395983,2026-02-05 23:06:28.534180,0 days 00:00:00.138197,0.9968401105695516,0.07746953975267998,0.21668682111695514,3,9,447,0.28899126641759804,0.8881418887364849,0.7651481412788534,0.013880431004510736,COMPLETE
59,0.8680851063829786,2026-02-05 23:06:28.950909,2026-02-05 23:06:29.206446,0 days 00:00:00.255537,0.8954099436985764,0.30242265763452103,0.1625058588453302,4,3,397,0.2227320221631183,0.9353739979712088,0.7128031764801079,0.015921946326697616,COMPLETE
60,0.8919148936170214,2026-02-05 23:06:29.578099,2026-02-05 23:06:29.857922,0 days 00:00:00.279823,0.9512875401618176,0.16373569111305103,0.2683219185887881,3,1,352,0.05333759805993883,0.7918402204534222,0.6703859095854626,0.0069140752379880255,COMPLETE
61,0.8800000000000001,2026-02-05 23:06:30.207128,2026-02-05 23:06:30.386862,0 days 00:00:00.179734,0.9480333699216095,0.16798041487909732,0.25878623345315604,3,1,295,0.00197103463377446,0.7784418175281727,0.6281702218251094,0.021764615919224527,COMPLETE
62,0.8791489361702126,2026-02-05 23:06:30.734401,2026-02-05 23:06:30.915830,0 days 00:00:00.181429,0.9233507640762811,0.13923646602517606,0.2222823964994886,3,1,368,0.05359160445589299,0.9978116568297541,0.6753987866558918,0.019703552174962072,COMPLETE
